Sr no,Name of library,x coord,y coord,Addresss
97,Mahila Wa Balklyan Vikas Library,20.94786319,77.79519994,"Paranjpe Colony, Amravati, Maharashtra 444602"
98,Dnyandarpan Library,20.97913368,77.75510532,"Vilas Colony, Holywood Nagar, Amravati, Maharashtra 444604"
99,P.R Patil College Library,21.00540072,77.79589264,"Gajanan Twp Rd, Amravati, Maharashtra 444602"
100,Shri Shivaji Science College Library,20.98564138,77.77300189,"Morshi Rd, Gadge Nagar, Amravati, Maharashtra 444601"
101,ज्ञानसागर सार्वजनिक वाचनालय,20.91942902,78.02538902,"Babasaheb ambedkar road, Bhiwapur, post. Amla Tq. Teosa Di. Amravati State, Bhiwapur, Maharashtra 444904"
102,Savitrijyoti Library,20.91671557,77.78912597,"road, near blue bird cafe, Prasad Nagar Saturna, Guruchhaya Colony, Saturna, Amravati, Maharashtra 444607"
103,Management Library,20.94227437,77.74238012,"Patvipura, Amravati, Maharashtra 444601"
104,SHIVAY LIBRARY,20.95380421,77.82495283,"Tapovan gate, chawan complex, sanket colony road, Yogiraj Nagar, Amravati, Maharashtra 444602"
105,Vrundavan Abhyasika,20.97713485,77.813396,"Prerana Colony Rd, Gadge Nagar, Amravati, Maharashtra 444604"
106,M.K LIBRARY - Maximum Knowledge Study Centre,20.94931068,77.8214209,"Yogiraj Nagar, Amravati, Maharashtra 444602"
107,Public Library,20.95548942,77.73054838,"SH 200, Zakir Colony, Amravati, Maharashtra 444601"
108,Dr. Babasaheb Ambedkar Library,20.99004376,77.77471263,"Rampuri Camp, Amravati, Maharashtra 444601"
109,Sarvadnya Abhyasika,20.98984648,77.77344542,"Radha Nagar, Panchvati, Amravati, Maharashtra 444604"
110,VMV Library,20.99347879,77.76413214,"Siddhivinayak Nagar, Amravati, Maharashtra 444604"
111,Deshmukh Library,20.97665609,77.71274142,"Nishigandha Colony, Jawahar Nagar, Amravati, Maharashtra 444602"
112,Shabdvel Library,20.92351922,77.73252479,"ICAI Bhavan Rd, Parmal Layout, Saturna, Amravati, Maharashtra 444602"
113,Sanskar Sarvajanik Wachnalay,21.41662347,76.9912025,"Sankalp Nagar, Bypass, near Salasar Balaji Mandir, Nafees Bagh, Dahigaon Gawande, Akola, Maharashtra 444002"
114,Raowadi Sarvajanik Ganeshostav Mandal,19.76701156,72.8519292,"Plot No, Rao Wadi, 23, Gopi Tank Marg, Mahim West, Mahim, Mumbai, Maharashtra 400016"
115,Savitribai phule sarvajanik vachnalay,18.84970706,74.35041594,"Dhawade Vasahat, Hanuman Nagar, Bhosari, Pimpri-Chinchwad, Maharashtra 411026"
116,savitribai phule granthalay,19.29319153,73.77733806,"391, Narveer Tanaji Malusare Rd, Uma Housing Society, Niranjan Park, Anand Nagar, Pune, Maharashtra 411051"
117,Savitribai Phule Vachanalay,19.3574615,72.86466027,"Korba Mithagar Upper Primary Hindi School, Lal Bahadur Shastri Nagar, Wadala, Mumbai, Maharashtra 400037"
118,Savitribai phule library,18.68738607,74.01281579,"Dattanagar, Shani Nagar, Ambegaon Budruk, Pune, Maharashtra 411046"
119,क्रांतिज्योती सावित्रीबाई फुले वाचनालय,18.9914474,73.67486845,"Somwar Peth, Khalde Aali, Talegaon Dabhade, Maharashtra 410506"
120,Savitribai Phule Library,18.13618731,73.59943233,"2231MA, Fulenagar, Phulenagar, Wai, Maharashtra 412803"
121,Savitribai phule sarvajanik vachanalay,18.18159917,75.5285858,"Balaji Nivas 1010 Balaji Nivas 1010, Tembhurni, Maharashtra 413211"
122,Savitribai phule sarvajanik vachanalay selu,19.15247961,77.43312375,"Palam, Selu, Maharashtra 431720"
123,Sant Rohidas Sarvjanik Vachanalay,18.61976307,75.54036688,"Kolwadi, Maharashtra 412213"
124,Shri Sant Shiromani Rohidas Maharaj Sarwajanik Wachnalaya,19.26660048,77.86159052,"Bhosi Rd, Bhosi, Maharashtra 431745"
125,Granthprasarak Shri Anantrao More Sarvajanik Vachnalay,17.90315814,73.89904899,"Devghar, Maharashtra 415730"
126,मुळचंद रामनारायण करवा वाचनालय,18.19751913,73.91497711,"Dasturi to Paranjape Saw Ml, Mahad, Maharashtra 402301"
127,Gajanan Maharaj Library,19.27051067,72.95392769,"Shivai Nagar, Thane West, Thane, Maharashtra 400606"
128,Sarvajanik Vachanalaya Kalyan,19.30763552,73.21387366,"Rambaug Lane Number 5, Pai Colony, Joshibaug, Kalyan, Maharashtra 421301"
129,Sarvajanik Vachnalay,19.26936891,73.12615589,"BazarPeth Rd, Surganga Society, Manik Colony, Kumbharwada, Kalyan, Maharashtra 421301"
130,"Sarvajanik vachnalay, Abyasika(study centre)",19.44159166,73.10648059,"Rambaug, Kalyan, Maharashtra 421301"
131,Sarvajanik Vachanalaya,20.03418093,73.90991695,"Tilak Rd, Shalimar, Nashik, Maharashtra 422001"
132,Sahachar Pustakalaya,19.077541,72.8859379,"Kalyan Building - 3, Sadashiv Cross Lane, Khadilkar Rd, Charni Road East, Girgaon, Mumbai, Maharashtra 400004"
133,Akshara Library for Women,18.99361845,72.8652321,"Saidham Nagar, Parel, Mumbai, Maharashtra 400012"
134,Golvarkar Guruji Sarvajanik Vachnalay,18.51603395,73.53859665,"Third Cross Rd, Swami Vivekananda Nagar, Patil Nagar, Vasind, Maharashtra 421601"
135,Sane Guruji Vachnalay,18.23452803,73.21999315,"Cheulkar Rd, Slum Area, Kharegaon, Kalwa, Thane, Maharashtra 400605"
136,Sarvashree Sarvajanik Granthalaya,19.8450675,72.83563767,"Apartment, D, Om vikas, 3/13, Santoshi Mata Rd, Ammu Nagar, Chikan Ghar, Kalyan, Maharashtra 421301"
137,Dr.Babasaheb ambedkar sarvajanik wachanalay kalkhed,20.09267611,77.22866257,"Kalkhed, Maharashtra 444203"
138,Dr. BABASAHEB AMBEDKAR LIBRARY,20.06252252,77.69481018,"Rahul Nagar, Keshavraj Vetaal, Akot, Maharashtra 444101"
139,सीनियर कॉलेज वाचनालय,21.30535209,76.98696336,"Shri Shivaji Art Commerce Science college, Saraswati Nagar, Akot, Maharashtra 444101"
140,Guruvandan Library,20.61798752,77.26162155,"Appaswami Colony, Akot, Maharashtra 444101"
141,Science library,20.05139996,72.82563767,"Shri Shivaji Art Commerce Science college, Saraswati Nagar, Akot, Maharashtra 444101"
142,Akot Nagar Parishd Library,20.40189937,77.55825239,"Appaswami Colony, Akot, Maharashtra 444101"
143,Swami Vivekanand Sarwajanik Wachnalaya,20.18550767,77.29458053,"Unnamed Road, Dnyaneshwar Nagar, Old City, Akola, Maharashtra 444002"
144,Amardnyan Sarvajanik Wachnalay,19.0990901,77.74501996,"Raja Bhagirath Nagar, Amardnyan Sarvajanik Wachnalay Raja, Bhagirath Nagar, Kolambi, Maharashtra 431709"
145,सोनू सार्वजनिक वाचनालय,20.36070522,77.78896527,"Kurankhed(Katepurna), Kurankhed, Maharashtra 444102"
146,Shree Rajmudra Sarvajanik Vachanalay,18.36427516,73.47958152,"433/2509, Sant Tukaram Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018"
147,Soham Sarvjanik Library.,18.618702,74.33618067,"Vallabh Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018"
148,Ravindranath Tagore Sarvajanik Library,18.36673869,73.99890025,"Sector 25, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044"
149,Shree Shahu Sarvajanic Vachnalaya,19.02175526,74.03967675,"Shree Rajashree, Shahu Kridangan, near Hanuman Gym, Devendra Housing Society, Shahunagar, MIDC, Pune-19, Pimpri-Chinchwad, Maharashtra 411019"
150,Shri Narayan Chaturkar sarvajanik wachanalay,20.64883232,77.49233443,"Pimpri Khurd, Gokhi, Maharashtra 444126"
151,Sarvajanik Wachnalay,18.84438724,74.47899412,"Sant Tukaram Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018"
152,Rajabhau Ketkar Motiwale Smruti Vachnalay,19.0938592,72.89628253,"Chitpawan Bramhan Sangh, Nikadwari Lane, SV Sovani Path, Charni Road (E) Charni Road (E), Girgaon, Mumbai, Maharashtra 400004"
153,Kai J. B. Thoke Sarvajanik Wachnalaya,20.08475063,74.34902369,"Pate, Maharashtra 423101"
154,Chhatrapati Shahu Maharaj Sarvajanik,19.41264555,74.46438012,"Pimpalgaon Ujjaini, Maharashtra 414601"
155,Rajshri shahu ma.sarvajanik vachnaly,20.05919152,75.01677268,"Salukheda, Maharashtra 431101"
