Sr no,Name of library,x coord,y coord,Addresss
49,Prabhodhan Library,19.1632,72.84228,"5R5R+WVW, Siddharth Nagar, Goregaon West, Mumbai, Maharashtra 400047"
50,Lokmanya Library,19.20373,72.85704,"400101, 4-11, Atmaram Sawant Rd, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101"
51,Jogeshwari Marathi Granthalaya ( E- Library ),19.13942,72.86244,"4VP7+H9J, Near Shiv Mandir, Shyam Mandir, Jogeshwari East, Mumbai, Maharashtra"
52,Vachanalaya,19.13567,72.86145,"11-18, Vijay Raut Marg, Income Tax Colony, Shankarwadi, Jogeshwari East, Mumbai, Maharashtra 400060"
53,Bhavan's library Building,19.12787,72.83717,"4RGP+3CX, Sahayog Society, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400053"
54,Sheila Raheja Library,19.1299,72.81916,"4RGC+V44, Near Nana Nani Park Nana, Gharkul Society, Bharat Nagar, Versova, Andheri West, Mumbai, Maharashtra 400047"
55,Subhedar Ramji Ambedkar library,19.1352,72.82594,"4RMG+78Q, RTO Rd, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053"
56,PD COMPUTER LIBRARY Andheri East,19.12194,72.84642,"401 B, Vertex Vikas, opp. to Andheri Railway Station East Middle Overpass, Mumbai, Maharashtra 400069"
57,Snehsparsh Library,19.13598,72.85732,"4VJ5+J6H, Amina Nagar, Shivaji Nagar, Shankarwadi, Jogeshwari East, Mumbai, Maharashtra 400060"
58,CA Library,19.11601,72.84444,"4R7V+7CH, Rajasthan Vidyarthi Griha (RVG), Lallubhai Swal Das Marg, Near Lallubhai Park, Off S. V. Road,Andheri (West), Mumbai, Maharashtra 400058"
59,State Central Library,19.11366,72.86195,"4V66+C79, Village, Guru Hargovindji Rd, Bamanpuri, Chakala, Andheri East, Mumbai, Maharashtra 400059"
60,Bharat Vikas Parishad Library,19.11523,72.87516,"101, Marol Church Rd, Bori Colony, Vijay Nagar Colony West, Marol, Andheri East, Mumbai, Maharashtra 400047"
61,Yarn Library (first ever digital yarn library),19.10992,72.88177,"3B, 219, Mittal Industrial Estate, Marol, Andheri East, Mumbai, Maharashtra 400093"
62,Captain vinayak gore vachanalay,19.10805,72.84939,"WING B-2, Tejpal Scheme Rd 1, Vishnu Prasad Society, Navpada, Netaji Subhash Nagar, Vile Parle, Mumbai, Maharashtra 400047"
63,Kala Gurjari Library,19.10414,72.84047,"4R2Q+5X9, Dashrathlal Joshi Rd, near Parle Book Centre, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056"
64,Enbee Library,19.11772,72.84213,"Ground Floor, New Ratna Deep Building, Swami Vivekananda Rd, Zalawad Nagar, Ganga Vihar, Andheri West, Mumbai, Maharashtra 400058"
65,"Community Centre & Santacruz Library, Santacruz ( Mahila Mandal)",19.08527,72.83977,"3RMQ+MWH, Besant Rd, Santacruz, Mumbai, laibery, Santacruz West, Mumbai, Maharashtra 400054"
66,Saheb Chowk,19.08568,72.8473,"3RMX+Q8J, Dhobhi Ghat, Demello Compound, Anand Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055"
67,"The Reading Square (Ville Parle, Mumbai) - Library and Study Room for Productivity",19.09846,72.85068,"201, SS House, Nehru Rd, opposite Adarsh (Bharat) Petrol Pump, Vile Parle East, Mumbai, Maharashtra 400057"
68,Jawaharlal Nehru Library - Mumbai University,19.07279,72.85635,"3VC4+HJ2, University Of Mumbai, Kalina, Santacruz East, Mumbai, Maharashtra 400098"
69,"New Library Building, University of Mumbai",19.07396,72.85538,"3VC4+V85, Kolivery Village, University of Mumbai,Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra 400098"
70,Nalanda Sarvajanik Granthalya,19.06521,72.84818,"31, Mahatma Gandhi Vidya Marg, Government Colony, Bandra East, Mumbai, Maharashtra 400051"
71,Garware Association Hall and Library,19.06421,72.84805,"3R6X+VC2, Government Colony, Bandra East, Mumbai, Maharashtra 400051"
72,Sangita circulating library,19.06169,72.83179,"Crown palace building,Turner road, Bandra, Mumbai, Maharashtra 400050"
73,National Library,19.05694,72.83689,"Swami Vivekananda Rd, S.V. Road, Bandra West, Mumbai, Maharashtra 400050"
74,Ramakrishna Mission Shivananda Library and Free Reading Room,19.07587,72.83527,"11th Road, Khar West, Mumbai, Maharashtra 400052"
75,Open Library & Newspaper Reading Shed,19.07357,72.82537,"35, Quarter Rd, Khar, Danda, Pali Hill, Mumbai, Maharashtra 400052"
76,Khar Library,19.07252,72.83726,"129, Chitrakar Dhurandhar Rd, Khar, Khar West, Mumbai, Maharashtra 400052"
77,Rifaenterprises,19.07196,72.83808,"3RCQ+755, opposite Asmita supermarket, Khar, Naya Nagar, Ram Krishna Nagar, Mira Road, Mumbai, Maharashtra 401107"
78,Nimbkar Library,19.07182,72.83593,"129, Chitrakar Dhurandhar Rd, Khar, Khar West, Mumbai, Maharashtra 400052"
79,Maharashtra Mitra Mandal Library,19.05988,72.82603,"Ground Floor, Princess Building, D'Monte Park Road, Bandra West, near Bandra Gymkhana, Mumbai, Maharashtra 400050"
80,Sister Library,19.05003,72.82573,"06 Xavier apartment, John the Baptist road Diagonally, across taj mahel tea house, Bandra West, Mumbai, Maharashtra 400050"
81,Project Mumbai Garden Library -Bandra West (Katrak Park),19.06218,72.82337,"3R6F+C5G, Pali Hill, Mumbai, Maharashtra 400050"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Sangli,,,
1,,17.04309441,74.46149341,
2,Jayant library,17.19796194,74.18683521,"45GP+PGW, Kasegaon, Maharashtra 415404"
3,Library,17.0798543,74.28296558,"3729+9XC, Mahadevnagar, Uran Islampur, Maharashtra 415409"
4,"सार्वजनिक वाचनालय,भिलवडी",17.05359797,74.47522632,"XFQ9+WP8, Bhilawadi, Maharashtra 416303"
5,Central Library,16.98006064,74.43677417,"WCR9+963, Anand Colony, Ashta, Maharashtra 416301"
6,Library,16.75138618,74.48346606,"MFV3+52F, Jawaharnagar, Ichalkaranji, Maharashtra 416116"
7,Bhogawati Mahavidyalaya Library,16.61457566,74.12091724,"Kurukali, Bele, Maharashtra 416001"
8,Chhatrapati Shivaji Maharaj University Library,16.71193166,74.26099292,"M7H3+PRP, Kolhapur, Vidya Nagar, Kolhapur, Maharashtra 416004"
9,Dnyanmudra Abhyasika,16.74086578,74.1264104,"Back side of Trimurti Automobile's, Sangrul, KUMBHI KASARI SAKHAR KHARKHANA road, Koparde, Maharashtra 416205"
10,Shree Bhaskarrao Jadhav Vachanalay,16.74612605,74.21430103,"M6RC+H85, Mangalwar Peth, C Ward, Kolhapur, Maharashtra 416012"
11,Aditi abhyasika,16.72837546,74.19900068,"M6V2+538, Chhatrapati Shivaji Maharaj garden samor, Phulewadi, Kolhapur, Maharashtra 416010"
12,library,16.71879031,74.25905147,"M6XW+7RG, S.T.Colony, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008"
13,कै. नरहर बळवंत पाटील सार्वजनिक वाचनालय,16.82739372,74.62769659,"QJJH+9RF, Arjunwad, Maharashtra 416120"
14,Saraswati Library,16.85613128,74.66105814,"RMC2+P87, Fort Rd, near Deval Talkies, Fort Area, Sangli, Miraj, Maharashtra 416410"
15,Ajit Gulabchand Central Library,16.85023019,74.60093396,"RJV2+RQ8, Government Colony, Viya Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415"
16,KUSTISAMRAT YUVRAJ PATIL VACHANALAYA SANGLI,16.87690086,74.59993864,"8, Chatrapati Shivaji Maharaj Rd No. 8, Balajinagar, Sangli, Sangli Miraj Kupwad, Maharashtra 416436"
17,V.S.Khandekar Library,16.8688048,74.57057656,"VH4F+JVM, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416"
18,"Dr. Hedgewar Sarvajanik Vachnalay, Beed",16.85651653,74.58122404,"VH2J+XH5, Behind Sangali Bank, Sangli"
19,DECCAN LIBRARY Studyroom,16.85681629,74.57645192,"Overseers Colony, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416"
20,OJAS LIBRARY(Narke Foundation),"16.69222585711379, 74.21981752010097",,"M6R9+3HJ, Shivaji Peth A Ward, C Ward, Kolhapur, Maharashtra 416012"
21,बॅरिस्टर बाळासाहेब खर्डेकर वाचनालय,"16.67959655806511, 74.25474203387125",,"M7H3+QRF, Shivaji University Kolhapur, Vidya Nagar, Kolhapur, Maharashtra 416004"
22,,,,
,,,,
,,,,
,SOLAPUR,,,
1,Hirachand Nemchand Library,"17.677619839174298, 75.90205602126517",,"MWF2+56M, MH SH 151, near supraja pavbhaji, Sidheshwar Temple Area, Solapur, Maharashtra 413002"
2,"स्व. काका महाजनी स्मारक विश्वस्त समिती, अभ्यासिका सोलापूर","17.688593236360113, 75.91127009397484",,"Jai Bhavani School Rd, in front of hogade hosptial, kaka ganapati, Bhavani Peth, Solapur, Maharashtra 413002"
3,Utkarsh Vaachnalay (Library),"17.672742558720966, 75.92893040000169",,"Karate class, Big Water storage tank, near ganesh mandir, Padma Nagar, Karnik Nagar, Sakhar Peth, Solapur, Maharashtra 413005"
4,Shrikant Sarvajanik Vachnalay (Shrikant Public Library),"17.687617850411343, 75.89079437684225",,"Shop No. 4, Awanti Nagar Complex, near Sai Fitness Gym, Abhimanshri Nagar, Vasant Vihar, Solapur, Maharashtra 413002"
5,SRM Library Solapur,"17.63396347550471, 75.91510929093721",,"Kaya Ayurvedic Clinic basement, Ruby Nagar, Dnyaneshwar Nagar, Jule, Solapur, Maharashtra 413008"
6,Hirachand Nemchand Library Branch-2,"17.646402959180516, 75.90640711115584",,"JWQ4+P3C, Konark Nagar, Jule, Solapur, Maharashtra 413004"
7,Param Abhyasika,"17.659817125837257, 75.9253471495035",,"Akashvani Road 18/33, 70 Feet Rd, Mumtaj Nagar, Madhav Nagar, Solapur, Maharashtra 413006"
,,,,
,,,,
,LATUR,,,
1,MK LIBRARY,"17.7036317622024, 75.91050616394821",,"wellness zone, 003, first floor, Begum Peth Rd, above Danish Cake, Sidheshwar Temple Area, Solapur, Maharashtra 413002"
2,Chatrapati Shivaji Maharaj Library,"18.47571071126265, 76.57452173384345",,"9HXF+4QF, Town Hall, Latur, Maharashtra 413512"
3,स्वामी विवेकानंद सार्वजनिक वाचनालय,"18.45602861544746, 76.5270920502795",,"9GPC+725, Pakharsangvi, Latur, Pakharsangvi, Maharashtra 413531"
4,,,,
,,,,
,,,,
1,"भाई.संभाजी पाटील-ढगे सार्वजनिक वाचनालय,पिंपळगाव ढगे","18.997779794080827, 77.16288418195744",,"X57F+4W5 Bhai Sambhaji Patil Dhage Public LibraryPimpalgaon Dhage, Loha, Pimpalgaon Dhage, Maharashtra 431708"
2,Public Library,"18.977536590578325, 77.10936407333651",,"W4VC+6GG, Old Loha Rd, Loha, Maharashtra 431708"
3,,,,
,,,,
,NANDED,,,
1,Dr Ram Manohar Lohiya Library,"19.20074179437683, 77.32636465517302",,"583M+X5P, Hyder Bagh, Dashmesh Nagar, Deglour Naka, Nanded, Nanded-Waghala, Maharashtra 431601"
2,Gurukrupa Academy Mpsc Upsc Study Centre,"19.90689304104474, 77.55835967797714",,"City Club, Karla Rd, Saptagiri Nagar, Pusad, Maharashtra 445204"
,,,,
,सेवादास सार्वजनिक वाचनालय. ज्योतिनगर,"19.993806953111733, 77.58205825878524",,"XHQM+FGR, MH SH 213, Jyoti Nagar, Maharashtra 445204"
,"Gramgopal sarvjanik wachnalay, wanwarla","20.00156332452381, 77.47234835460186",,"XFRF+VV9, Wanwarla ., Maharashtra 445204"
,Lobhivant Maharaj Sarvjanik Vachanaly Paradh,"20.062954432165057, 77.45893554499949",,"3F46+F3, Pimpalgaon, Maharashtra 445204"
,Dhanji naik vachnalay,"20.06780007791825, 77.59168796897471",,"3H6Q+QXR, Digras, Shendona, Maharashtra 445203"
